ID,tip,train_start,train_end,test_start,test_end,var_name,epochs,batch_size,context_length,prediction_length,wavelet_var_list,wavelet,NRMSE,ND,RMSE,MSE,MAPE,MASE,sMAPE,MSIS
20231209232128_,琛屾儏鐗瑰緛8+pre5,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,35,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0693,0.0238,5.6352,31.7554,0.0229,0.7537,0.0225,5.7952
20231210035011_,琛屾儏鐗瑰緛5+pre5,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,vol,amount",100,64,35,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0721,0.0226,5.8593,34.3309,0.0261,0.9646,0.0261,10.9868
20231210044142_,琛屾儏鐗瑰緛8+pre1,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,35,1,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.032,0.0161,2.5908,6.7124,0.0323,1.3306,0.0329,8.1722
20231210053613_,琛屾儏鐗瑰緛5+pre5,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,vol,amount",20,64,35,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0804,0.0285,6.535,42.7059,0.0259,0.8621,0.0253,6.4322
20231210062935_,琛屾儏鐗瑰緛1+pre5,2020-01-05,2023-06-02,2023-05-08,2023-06-02,close,20,64,35,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.1292,0.0358,10.5018,110.288,0.0269,0.9067,0.0262,6.0195
20231210072431_,琛屾儏鐗瑰緛9+baidu+pre5,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,pre_close,change,pct_chg,vol,amount,baidu_idx",20,64,35,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0672,0.0241,5.4602,29.8139,0.0237,0.7878,0.0232,5.6578
20231210082121_,琛屾儏鐗瑰緛8+baidu+pre5,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,baidu_idx",20,64,35,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0738,0.0251,6.0032,36.0382,0.0227,0.8365,0.0226,6.6943
