ID,tip,train_start,train_end,test_start,test_end,var_name,epochs,batch_size,context_length,prediction_length,wavelet_var_list,wavelet,NRMSE,ND,RMSE,MSE,MAPE,MASE,sMAPE,MSIS
20231211065757_,行情3,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"pre_close,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.1708,0.046,13.8861,192.8244,0.0275,0.9419,0.0269,6.4832
20231211061426_,行情6,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0994,0.0232,8.0808,65.2989,0.0193,0.6778,0.0194,4.3276
20231211053038_,"行情8+RSI_6,MAC_5,EMAC_5,EMV_6",2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,RSI_6,MAC_5,EMAC_5,EMV_6",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0515,0.0204,4.1866,17.5278,0.0227,0.7823,0.0228,5.3498
20231211044617_,"行情8+RSI_6,RSI_12,MAC_5,MAC_10,MAC_20,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMV_6,EMV_14",2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,RSI_6,RSI_12,MAC_5,MAC_10,MAC_20,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMV_6,EMV_14",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.1262,0.0329,10.2562,105.1895,0.0228,0.7692,0.0229,5.4631
20231211040047_,"行情8+EMV_6,EMV_14",2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,EMV_6,EMV_14",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.077,0.0224,6.2596,39.1827,0.02,0.6893,0.0199,5.9503
20231211031636_,"行情8+EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMAC_26,EMAC_60,EMAC_120",2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMAC_26,EMAC_60,EMAC_120",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0647,0.0203,5.262,27.6883,0.0209,0.7291,0.0208,5.9244
20231211023152_,"行情8+MAC_5,MAC_10,MAC_20,MAC_60,MAC_120",2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,MAC_5,MAC_10,MAC_20,MAC_60,MAC_120",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.059,0.0231,4.7937,22.9794,0.0218,0.781,0.0215,6.3575
20231211014727_,"行情8+RSI_6,RSI_12,RSI_24",2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,RSI_6,RSI_12,RSI_24",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0869,0.0291,7.0644,49.9057,0.0241,0.7969,0.0238,6.4266
20231211010309_,行情4(标准K线pre_close),2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0863,0.0336,7.0187,49.2616,0.0308,1.0462,0.0299,6.5788
20231211001940_,行情4(标准K线),2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0847,0.0299,6.8892,47.4614,0.0255,0.8649,0.0249,6.3027
20231210233604_,行情6(标准K线+量价),2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.055,0.0216,4.4671,19.9547,0.0224,0.7633,0.022,5.5187
20231210225213_,基准：行情8,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0457,0.0178,3.7147,13.7992,0.019,0.6503,0.0188,4.8912
