ID,tip,train_start,train_end,test_start,test_end,var_name,epochs,batch_size,context_length,prediction_length,wavelet_var_list,wavelet,NRMSE,ND,RMSE,MSE,MAPE,MASE,sMAPE,MSIS
20231223093001_,"行情9(+close),128,cat_real2,static_cat1,db1-2:7(+close,-vol,-amount)",2020-01-05,2023-06-02,2023-05-08,2023-06-30,"open,high,low,close,pre_close,change,pct_chg,vol,amount",200,128,20,5,"['open', 'high', 'low', 'close', 'pre_close', 'change', 'pct_chg']",db1,0.0476,0.0187,5.4877,30.115,0.0307,1.0987,0.0315,12.4247
20231223040846_,"行情9(+close),128,cat_real2,static_cat1,db1-2:7(+close,-vol,-amount)",2018-01-05,2022-12-31,2023-01-05,2023-06-30,"open,high,low,close,pre_close,change,pct_chg,vol,amount",100,128,20,5,"['open', 'high', 'low', 'close', 'pre_close', 'change', 'pct_chg']",db1,0.1545,0.0367,17.8485,318.5696,0.0325,1.0216,0.0332,11.6902
20231223001739_,"行情9(+close),64,cat_real2,static_cat1,db1-2:7(+close,-vol,-amount)",2020-01-05,2023-06-02,2023-05-08,2023-06-30,"open,high,low,close,pre_close,change,pct_chg,vol,amount",100,32,20,5,"['open', 'high', 'low', 'close', 'pre_close', 'change', 'pct_chg']",db1,0.3681,0.0907,42.4452,1801.595,0.0999,4.136,0.1136,90.5788
20231222193150_,"行情9(+close),32,cat_real2,static_cat1,db1-2:7(+close,-vol,-amount)",2020-01-05,2023-06-02,2023-05-08,2023-06-30,"open,high,low,close,pre_close,change,pct_chg,vol,amount",200,32,20,5,"['open', 'high', 'low', 'close', 'pre_close', 'change', 'pct_chg']",db1,0.3445,0.0899,39.725,1578.0766,0.1051,4.4015,0.1216,90.2164
20231221231628_,"行情9(+close),64,cat_real2,static_cat1,db1-2:7(+close,-vol,-amount)",2018-01-05,2022-12-31,2023-01-05,2023-06-30,"open,high,low,close,pre_close,change,pct_chg,vol,amount",20,64,20,5,"['open', 'high', 'low', 'close', 'pre_close', 'change', 'pct_chg']",db1,0.1452,0.0381,16.7731,281.3375,0.0296,0.9176,0.0296,9.6103
20231221221409_,"行情9(+close),64,cat_real2,static_cat1,db1-2:7(+close,-vol,-amount)",2020-01-05,2023-06-02,2023-05-08,2023-06-30,"open,high,low,close,pre_close,change,pct_chg,vol,amount",100,64,20,5,"['open', 'high', 'low', 'close', 'pre_close', 'change', 'pct_chg']",db1,0.076,0.0236,8.7615,76.7638,0.0252,0.931,0.0252,8.0003
20231221183710_,"行情9(+close),64,cat_real2,static_cat1,db1-2:7(+close,-vol,-amount)",2020-01-05,2023-06-02,2023-05-08,2023-06-30,"open,high,low,close,pre_close,change,pct_chg,vol,amount",200,64,20,5,"['open', 'high', 'low', 'close', 'pre_close', 'change', 'pct_chg']",db1,0.0789,0.0308,9.1003,82.8151,0.0449,1.8567,0.0468,27.5601
