ID,tip,train_start,train_end,test_start,test_end,var_name,epochs,batch_size,context_length,prediction_length,wavelet_var_list,wavelet,NRMSE,ND,RMSE,MSE,MAPE,MASE,sMAPE,MSIS
20231213111406_,FEAT_STATIC_REAL：db1(all-量价)+行情8+全因子,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,baidu_idx,BBands Upper,BBands Middle,BBands Lower,MACD,MACD Signal,MACD Histogram,K,D,J,RSI_6,RSI_12,RSI_24,MAC_5,MAC_10,MAC_20,MAC_60,MAC_120,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMAC_26,EMAC_60,EMAC_120,EMV_6,EMV_14",20,64,20,5,"open,high,low,pre_close,change,pct_chg,baidu_idx,BBands Upper,BBands Middle,BBands Lower,MACD,MACD Signal,MACD Histogram,K,D,J,RSI_6,RSI_12,RSI_24,MAC_5,MAC_10,MAC_20,MAC_60,MAC_120,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMAC_26,EMAC_60,EMAC_120,EMV_6,EMV_14",db1,0.0987,0.0318,8.024,64.3847,0.0232,0.7548,0.0228,6.1176
20231213102719_,FEAT_STATIC_REAL：db1(all)+行情8+全因子,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,baidu_idx,BBands Upper,BBands Middle,BBands Lower,MACD,MACD Signal,MACD Histogram,K,D,J,RSI_6,RSI_12,RSI_24,MAC_5,MAC_10,MAC_20,MAC_60,MAC_120,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMAC_26,EMAC_60,EMAC_120,EMV_6,EMV_14",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount,baidu_idx,BBands Upper,BBands Middle,BBands Lower,MACD,MACD Signal,MACD Histogram,K,D,J,RSI_6,RSI_12,RSI_24,MAC_5,MAC_10,MAC_20,MAC_60,MAC_120,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMAC_26,EMAC_60,EMAC_120,EMV_6,EMV_14",db1,0.0988,0.0328,8.0307,64.4922,0.0248,0.8349,0.0244,6.1993
20231213094033_,FEAT_STATIC_REAL：db1(8)+行情8+全因子,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,baidu_idx,BBands Upper,BBands Middle,BBands Lower,MACD,MACD Signal,MACD Histogram,K,D,J,RSI_6,RSI_12,RSI_24,MAC_5,MAC_10,MAC_20,MAC_60,MAC_120,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMAC_26,EMAC_60,EMAC_120,EMV_6,EMV_14",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",db1,0.0783,0.0259,6.3654,40.5184,0.0233,0.8233,0.0232,6.7042
20231213085327_,FEAT_STATIC_REAL：行情8+全因子,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,baidu_idx,BBands Upper,BBands Middle,BBands Lower,MACD,MACD Signal,MACD Histogram,K,D,J,RSI_6,RSI_12,RSI_24,MAC_5,MAC_10,MAC_20,MAC_60,MAC_120,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMAC_26,EMAC_60,EMAC_120,EMV_6,EMV_14",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0961,0.0309,7.8159,61.0889,0.0245,0.8533,0.0243,6.5632
20231213080652_,FEAT_STATIC_REAL：行情8+CLOSE,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.1116,0.0342,9.0689,82.2452,0.0253,0.8717,0.0249,5.6834
20231213072303_,FEAT_STATIC_REAL：行情8,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0659,0.0219,5.3552,28.6784,0.0206,0.6956,0.0203,5.6673
