ID,tip,train_start,train_end,test_start,test_end,var_name,epochs,batch_size,context_length,prediction_length,wavelet_var_list,wavelet,NRMSE,ND,RMSE,MSE,MAPE,MASE,sMAPE,MSIS
20231213150818_,FEAT_STATIC_REAL-weight：行情8,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,128,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0491,0.0199,3.9895,15.9162,0.0192,0.6058,0.019,5.5742
20231213143505_,FEAT_STATIC_REAL-weight：行情8,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,32,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0699,0.025,5.6837,32.304,0.0234,0.7794,0.023,5.6918
20231213133704_,FEAT_STATIC_REAL-weight：行情8,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,30,10,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0744,0.0272,6.1095,37.3264,0.0357,1.1917,0.0352,8.8157
20231213124205_,FEAT_STATIC_REAL-weight：行情8,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0893,0.0291,7.2566,52.6587,0.0251,0.8605,0.0247,5.7923
