ID,tip,train_start,train_end,test_start,test_end,var_name,epochs,batch_size,context_length,prediction_length,wavelet_var_list,wavelet,NRMSE,ND,RMSE,MSE,MAPE,MASE,sMAPE,MSIS
20231212121053_,无FEAT_STATIC_CAT：行情8+db1(无量价+close),2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,close,pre_close,change,pct_chg",db1,0.012,0.0042,2.7891,7.7788,0.0075,0.601,0.0075,4.3269
20231212112717_,无FEAT_STATIC_CAT：行情8+db1(无量价),2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg",db1,0.1473,0.0389,11.9701,143.2824,0.0227,0.7771,0.0224,6.0347
20231212104345_,无FEAT_STATIC_CAT：行情8+db1,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",db1,0.1161,0.0328,9.4399,89.1114,0.0216,0.7426,0.0214,5.6698
20231212100019_,无FEAT_STATIC_CAT：行情8,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0931,0.0279,7.5663,57.2488,0.0206,0.6913,0.0203,5.4965
