ID,tip,train_start,train_end,test_start,test_end,var_name,epochs,batch_size,context_length,prediction_length,wavelet_var_list,wavelet,NRMSE,ND,RMSE,MSE,MAPE,MASE,sMAPE,MSIS
20231211193718_,db1部分+行情8+全部因子+baidu_idx,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,baidu_idx,BBands Upper,BBands Middle,BBands Lower,MACD,MACD Signal,MACD Histogram,K,D,J,RSI_6,RSI_12,RSI_24,MAC_5,MAC_10,MAC_20,MAC_60,MAC_120,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMAC_26,EMAC_60,EMAC_120,EMV_6,EMV_14",20,64,20,5,"open,high,low,pre_close,change,pct_chg,BBands Middle,MACD Signal,K,D,J,RSI_6,RSI_12,RSI_24,MAC_5,MAC_10,MAC_20,MAC_60,MAC_120,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMAC_26,EMAC_60,EMAC_120,EMV_6,EMV_14",db1,0.0909,0.0282,7.3884,54.588,0.0221,0.7498,0.0218,6.3665
20231211185042_,db1全部+行情8+全部因子+baidu_idx,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,baidu_idx,BBands Upper,BBands Middle,BBands Lower,MACD,MACD Signal,MACD Histogram,K,D,J,RSI_6,RSI_12,RSI_24,MAC_5,MAC_10,MAC_20,MAC_60,MAC_120,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMAC_26,EMAC_60,EMAC_120,EMV_6,EMV_14",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount,baidu_idx,BBands Upper,BBands Middle,BBands Lower,MACD,MACD Signal,MACD Histogram,K,D,J,RSI_6,RSI_12,RSI_24,MAC_5,MAC_10,MAC_20,MAC_60,MAC_120,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMAC_26,EMAC_60,EMAC_120,EMV_6,EMV_14",db1,0.0893,0.028,7.2558,52.6468,0.0226,0.7794,0.0224,6.7502
20231211180409_,sym2+行情8+全部因子+baidu_idx,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,baidu_idx,BBands Upper,BBands Middle,BBands Lower,MACD,MACD Signal,MACD Histogram,K,D,J,RSI_6,RSI_12,RSI_24,MAC_5,MAC_10,MAC_20,MAC_60,MAC_120,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMAC_26,EMAC_60,EMAC_120,EMV_6,EMV_14",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",sym2,0.0789,0.0261,6.4116,41.108,0.0234,0.8288,0.0231,5.7671
20231211171729_,db1+行情8+全部因子+baidu_idx,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,baidu_idx,BBands Upper,BBands Middle,BBands Lower,MACD,MACD Signal,MACD Histogram,K,D,J,RSI_6,RSI_12,RSI_24,MAC_5,MAC_10,MAC_20,MAC_60,MAC_120,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMAC_26,EMAC_60,EMAC_120,EMV_6,EMV_14",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",db1,0.0874,0.027,7.1075,50.5165,0.0236,0.8717,0.0235,6.611
20231211163048_,rbio3.1+行情8+全部因子+baidu_idx,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,baidu_idx,BBands Upper,BBands Middle,BBands Lower,MACD,MACD Signal,MACD Histogram,K,D,J,RSI_6,RSI_12,RSI_24,MAC_5,MAC_10,MAC_20,MAC_60,MAC_120,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMAC_26,EMAC_60,EMAC_120,EMV_6,EMV_14",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",rbio3.1,0.0912,0.0288,7.4159,54.9959,0.025,0.9024,0.0247,5.6942
20231211154331_,行情8+全部因子+baidu_idx,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,baidu_idx,BBands Upper,BBands Middle,BBands Lower,MACD,MACD Signal,MACD Histogram,K,D,J,RSI_6,RSI_12,RSI_24,MAC_5,MAC_10,MAC_20,MAC_60,MAC_120,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMAC_26,EMAC_60,EMAC_120,EMV_6,EMV_14",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0895,0.0267,7.2755,52.9332,0.0225,0.8096,0.0225,5.8418
20231211145521_,行情8+全部因子,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount,BBands Upper,BBands Middle,BBands Lower,MACD,MACD Signal,MACD Histogram,K,D,J,RSI_6,RSI_12,RSI_24,MAC_5,MAC_10,MAC_20,MAC_60,MAC_120,EMAC_5,EMAC_10,EMAC_12,EMAC_20,EMAC_26,EMAC_60,EMAC_120,EMV_6,EMV_14",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0922,0.0309,7.4942,56.1636,0.0252,0.858,0.0247,6.1492
20231211140831_,基准：行情8,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0457,0.0178,3.7147,13.7992,0.019,0.6503,0.0188,4.8912
